name,description,type,min,max,decile,category
ExternalRiskEstimate,Consolidated version of risk markers,numerical,0,,,
MSinceOldestTradeOpen,Months Since Oldest Trade Open,numerical,0,,,
MSinceMostRecentTradeOpen,Months Since Most Recent Trade Open,numerical,0,,,
AverageMInFile,Average Months in File,numerical,0,,,
NumSatisfactoryTrades,Number Satisfactory Trades,numerical,0,,,
NumTrades60Ever2DerogPubRec,Number Trades 60+ Ever,numerical,0,,,
NumTrades90Ever2DerogPubRec,Number Trades 90+ Ever,numerical,0,,,
PercentTradesNeverDelq,Percent Trades Never Delinquent,numerical,0,,,
MSinceMostRecentDelq,Months Since Most Recent Delinquency,numerical,0,,,
MaxDelq2PublicRecLast12M,"Max Delq/Public Records Last 12 Months. See tab ""MaxDelq"" for each category",numerical,0,,,
MaxDelqEver,"Max Delinquency Ever. See tab ""MaxDelq"" for each category",numerical,0,,,
NumTotalTrades,Number of Total Trades (total number of credit accounts),numerical,0,,,
NumTradesOpeninLast12M,Number of Trades Open in Last 12 Months,numerical,0,,,
PercentInstallTrades,Percent Installment Trades,numerical,0,,,
MSinceMostRecentInqexcl7days,Months Since Most Recent Inq excl 7days,numerical,0,,,
NumInqLast6M,Number of Inq Last 6 Months,numerical,0,,,
NumInqLast6Mexcl7days,Number of Inq Last 6 Months excl 7days. Excluding the last 7 days removes inquiries that are likely due to price comparision shopping.,numerical,0,,,
NetFractionRevolvingBurden,Net Fraction Revolving Burden. This is revolving balance divided by credit limit,numerical,0,,,
NetFractionInstallBurden,Net Fraction Installment Burden. This is installment balance divided by original loan amount,numerical,0,,,
NumRevolvingTradesWBalance,Number Revolving Trades with Balance,numerical,0,,,
NumInstallTradesWBalance,Number Installment Trades with Balance,numerical,0,,,
NumBank2NatlTradesWHighUtilization,Number Bank/Natl Trades w high utilization ratio,numerical,0,,,
PercentTradesWBalance,Percent Trades with Balance,numerical,0,,,
RiskPerformance,Paid as negotiated flag (12-36 Months). 0 is for Good and 1 is for Bad,categorical,,,,Good Bad
