age,hours_per_week,workclass,education,marital_status,occupation,race,gender,income
39,40,0,-7,-2,-1,-1,-1,<50k
50,13,-1,-7,-4,-1,-1,-1,<50k
38,40,-2,-5,0,0,-1,-1,<50k
53,40,-2,-2,-4,0,0,-1,<50k
28,40,-2,-7,-4,-4,0,0,<50k
37,40,-2,-4,-4,-1,-1,0,<50k
49,16,-2,-2,-4,-2,0,0,<50k
52,45,-1,-5,-4,-1,-1,-1,>=50k
31,50,-2,-4,-2,-4,-1,0,>=50k
42,40,-2,-7,-4,-1,-1,-1,>=50k
37,80,-2,-1,-4,-1,0,-1,>=50k
30,40,0,-7,-4,-4,0,-1,>=50k
23,30,-2,-7,-2,-1,-1,0,<50k
32,50,-2,0,-2,-3,0,-1,<50k
40,40,-2,0,-4,0,0,-1,>=50k
34,45,-2,-2,-4,0,0,-1,<50k
25,35,-1,-5,-2,0,-1,-1,<50k
32,40,-2,-5,-2,0,-1,-1,<50k
38,50,-2,-2,-4,-3,-1,-1,<50k
43,45,-1,-4,0,-1,-1,0,>=50k
40,60,-2,-6,-4,-4,-1,-1,>=50k
54,20,-2,-5,-3,-2,0,0,<50k
35,40,0,-2,-4,0,0,-1,<50k
43,40,-2,-2,-4,0,-1,-1,<50k
59,40,-2,-5,0,-2,-1,0,<50k
56,40,0,-7,-4,-2,-1,-1,>=50k
19,40,-2,-5,-2,0,-1,-1,<50k
54,60,-3,-1,-4,-5,0,-1,>=50k
39,80,-2,-5,0,-1,-1,-1,<50k
49,40,-2,-5,-4,0,-1,-1,<50k
23,52,0,0,-2,-2,-1,-1,<50k
20,44,-2,-1,-2,-3,0,-1,<50k
45,40,-2,-7,0,-1,-1,-1,<50k
30,40,0,-1,-4,-1,-1,-1,<50k
22,15,0,-1,-4,-2,0,-1,<50k
48,40,-2,-2,-2,0,-1,-1,<50k
21,40,-2,-1,-2,0,-1,-1,<50k
19,25,-2,-5,-4,-1,-1,0,<50k
31,38,-2,-1,-4,-3,-1,-1,>=50k
48,40,-1,0,-4,-4,-1,-1,<50k
31,43,-2,-2,-4,0,-1,-1,<50k
53,40,-1,-7,-4,-4,-1,-1,<50k
24,50,-2,-7,-4,-2,-1,-1,<50k
49,40,-2,-5,-3,-1,-1,0,<50k
25,35,-2,-5,-2,0,-1,-1,<50k
57,40,0,-7,-4,-4,0,-1,>=50k
53,38,-2,-5,-4,0,-1,-1,<50k
44,40,-2,-4,0,-1,-1,0,<50k
41,40,0,0,-4,0,-1,-1,<50k
29,43,-2,0,-2,-4,-1,-1,<50k
25,40,-2,-1,-4,-1,0,0,<50k
18,30,-2,-5,-2,-2,-1,0,<50k
47,60,-2,-3,-4,-4,-1,0,>=50k
50,55,0,-7,0,-1,-1,-1,>=50k
47,60,-1,-5,0,-1,-1,-1,<50k
43,40,-2,-1,-4,-2,-1,-1,>=50k
46,40,-2,-2,-4,0,-1,-1,<50k
35,40,-2,0,-4,-2,-1,-1,<50k
41,48,-2,-5,-4,-1,-1,-1,<50k
30,40,-2,-5,-4,0,-1,-1,<50k
30,40,-2,-7,-4,-3,-1,-1,<50k
32,40,-3,-2,-4,-5,-1,-1,<50k
48,40,-2,-5,-4,0,-1,-1,<50k
42,45,-2,-6,-4,-4,-1,-1,>=50k
29,58,-2,-1,0,-2,-1,-1,<50k
36,40,-2,-5,-4,0,-1,-1,<50k
28,40,-2,-1,0,-1,-1,0,<50k
53,40,-2,-5,-4,-1,-1,0,>=50k
49,50,-1,-1,-4,-1,-1,-1,>=50k
25,40,-3,-1,-2,-5,-1,-1,<50k
19,32,-2,-1,-2,-4,-1,-1,<50k
31,40,-2,-7,-3,-3,0,0,<50k
29,70,-1,-7,-4,-3,-1,-1,>=50k
23,40,-2,-1,-2,0,-1,-1,<50k
79,20,-2,-1,-4,-4,-1,-1,<50k
27,40,-2,-5,-2,-2,-1,-1,<50k
40,40,-2,0,-4,-1,-1,-1,<50k
67,2,-3,-2,-4,-5,-1,-1,<50k
18,22,-2,-2,-2,-2,-1,0,<50k
31,40,0,-2,-4,0,-1,-1,<50k
18,30,-2,-5,-2,-3,-1,-1,<50k
52,40,-2,-7,-4,-2,-1,-1,<50k
46,40,-2,-5,-4,-2,-1,0,<50k
59,48,-2,-5,-4,-3,-1,-1,<50k
44,40,-2,-5,0,0,-1,0,>=50k
53,35,-2,-5,0,-3,-1,0,<50k
